basicfornow password john smith basicfornow@default.com
justariffer 67strat layla clapton slightlylessbasic@sbc.global.com
chain_charmer nameitafterme2 steve mould chain_charmer@mathish.edu
brb_8mile thenameofmybandis_ M. mathers brb_8mile@aol.com
9thLegion yeah.he.took.the.red.one E. Lite Dangerous 9thLegion@frontier.net
theforgottenone yellowsub richard Beedles theforgottenone@applerecords.com
morethanjustsoup undercovermaninblack andrew warhol morethanjustsoup@foodplace.com
streisandEffect itsMathsNotMATH matt parker streisandEffect@standup.com
zeta_lover sumfun_sumtimes bernie riemann sumfun_sumtimes@mit.com
OG_ NoneNeeded ada lovelace 1@internet.com
Guesswhosback backagain E. minem guesswhosback@gmail.com
